set_id,name,canvas_width,canvas_height
31197,Andy Warhol’s Marilyn Monroe,48,48
31198,The Beatles,48,48
31202,Disney’s Mickey Mouse,48,48
31203,World Map,128,80
31204,Elvis Presley “The King”,48,48
21226,Art Project – Create Together,48,48
